uuid,date,tave,tmin,tmax,heat_index,wind_speed,rh,solar_rad,uv_rad,Barangay,City
CATMS3D31CC,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Tigtabon,Zamboanga City
CATMS3911FF,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Mercedes,Zamboanga City
CATMS3A686B,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Putik,Zamboanga City
CATMS349C97,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Buenavista,Zamboanga City
CATMS37496F,12/31/2022,26.36,24.64,27.96,28.52,1.65,83.01,218.4,25.89,Lanzones,Zamboanga City
CATMS33F161,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Arena Blanco,Zamboanga City
CATMS3EC14A,12/31/2022,26.36,24.64,27.96,28.52,1.65,83.01,218.4,25.89,Zambowood,Zamboanga City
CATMS3681B0,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Guisao,Zamboanga City
CATMS3CBFA8,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Taluksangay,Zamboanga City
CATMS3446FC,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Baluno,Zamboanga City
CATMS38D8ED,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Manicahan,Zamboanga City
CATMS3EA4C1,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Victoria,Zamboanga City
CATMS34B920,12/31/2022,26.32,24.7,28.12,28.45,1.55,83.21,216.01,25.57,Bunguiao,Zamboanga City
CATMS3E4F26,12/31/2022,26.91,25,29.2,29.75,1.26,83.02,206.33,24.61,Licomo,Zamboanga City
CATMS3A12D0,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Barangay Zone II (Pob.),Zamboanga City
CATMS3CF8BA,12/31/2022,26.91,25,29.2,29.75,1.26,83.02,206.33,24.61,Tictapul,Zamboanga City
CATMS3E8838,12/31/2022,26.36,24.64,27.96,28.52,1.65,83.01,218.4,25.89,Pasobolong,Zamboanga City
CATMS35F303,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Curuan,Zamboanga City
CATMS3B302A,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,San Roque,Zamboanga City
CATMS3E329D,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Camino Nuevo,Zamboanga City
CATMS37BB93,12/31/2022,26.32,24.54,28.64,28.55,1.44,83.71,216.28,25.42,Limpapa,Zamboanga City
CATMS362C15,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Divisoria,Zamboanga City
CATMS3BA24E,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Santa Maria,Zamboanga City
CATMS346385,12/31/2022,26.36,24.64,27.96,28.52,1.65,83.01,218.4,25.89,Boalan,Zamboanga City
CATMS394B11,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Pamucutan,Zamboanga City
CATMS389FDB,12/31/2022,26.44,24.82,27.5,28.62,1.91,82.24,220.45,26.26,Manalipa,Zamboanga City
CATMS35B9F1,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Cawit,Zamboanga City
CATMS342A73,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Baliwasan,Zamboanga City
CATMS3A2F59,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Barangay Zone III (Pob.),Zamboanga City
CATMS3CDC31,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Tetuan,Zamboanga City
CATMS360F8C,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Dita,Zamboanga City
CATMS350EBB,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Cabatangan,Zamboanga City
CATMS3547CD,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Calabasa,Zamboanga City
CATMS3DA3F0,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Tumaga,Zamboanga City
CATMS3A84F4,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Quiniput,Zamboanga City
CATMS3C8696,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Talisayan,Zamboanga City
CATMS3E1614,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Capisan,Zamboanga City
CATMS392E88,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Muti,Zamboanga City
CATMS3D1543,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Tigbalabag,Zamboanga City
CATMS38BC64,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Mangusu,Zamboanga City
CATMS35D67A,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Culianan,Zamboanga City
CATMS3A4BE2,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Barangay Zone IV (Pob.),Zamboanga City
CATMS37D81C,12/31/2022,26.31,24.86,27.6,28.35,1.67,82.71,215.74,25.72,Lubigan,Zamboanga City
CATMS379F0A,12/31/2022,26.63,25.09,28.16,29.06,1.39,82.53,212.49,25.37,Limaong,Zamboanga City
CATMS3C6A0D,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Talabaan,Zamboanga City
CATMS39BD35,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Pasonanca,Zamboanga City
CATMS3BDB60,12/31/2022,26.19,24.88,27.61,28.14,1.56,83.08,213.11,25.41,Sibulao (Caruan),Zamboanga City
CATMS37105D,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Landang Gua,Zamboanga City
CATMS3EFA5C,12/31/2022,26.49,24.84,28.59,28.84,1.4,83.28,211.19,25.03,Unclaimed Area under Jurisdiction of Zamboanga City,Zamboanga City
CATMS39D9BE,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,Patalon,Zamboanga City
CATMS3B4CB3,12/31/2022,26.42,24.83,27.59,28.56,1.79,82.35,218.37,26.02,Sangali,Zamboanga City
CATMS3B13A1,12/31/2022,26.29,24.44,28.34,28.48,1.51,83.67,218.43,25.75,San Jose Gusu,Zamboanga City
CATMS3F16E5,12/31/2022,26.32,24.54,28.64,28.55,1.44,83.71,216.28,25.42,Watershed Area under Jurisdiction of Zamboanga City,Zamboanga City
